symbol,exSymbol,segment,exchange,expiryDate,strikePrice,exSymName
NSE:NIFTY2511629850CE,NIFTY,11,10,2025-01-16 10:00:00,29850.0,NIFTY2511629850CE
NSE:NIFTY2511629850PE,NIFTY,11,10,2025-01-16 10:00:00,29850.0,NIFTY2511629850PE
NSE:NIFTY2511629900CE,NIFTY,11,10,2025-01-16 10:00:00,29900.0,NIFTY2511629900CE
NSE:NIFTY2511629900PE,NIFTY,11,10,2025-01-16 10:00:00,29900.0,NIFTY2511629900PE
NSE:NIFTY2511629950CE,NIFTY,11,10,2025-01-16 10:00:00,29950.0,NIFTY2511629950CE
NSE:NIFTY2511629950PE,NIFTY,11,10,2025-01-16 10:00:00,29950.0,NIFTY2511629950PE
NSE:NIFTY2511630000CE,NIFTY,11,10,2025-01-16 10:00:00,30000.0,NIFTY2511630000CE
NSE:NIFTY2511630000PE,NIFTY,11,10,2025-01-16 10:00:00,30000.0,NIFTY2511630000PE
NSE:NIFTY2511618350CE,NIFTY,11,10,2025-01-16 10:00:00,18350.0,NIFTY2511618350CE
NSE:NIFTY2511618350PE,NIFTY,11,10,2025-01-16 10:00:00,18350.0,NIFTY2511618350PE
NSE:NIFTY2511618400CE,NIFTY,11,10,2025-01-16 10:00:00,18400.0,NIFTY2511618400CE
NSE:NIFTY2511618400PE,NIFTY,11,10,2025-01-16 10:00:00,18400.0,NIFTY2511618400PE
NSE:NIFTY2511618450CE,NIFTY,11,10,2025-01-16 10:00:00,18450.0,NIFTY2511618450CE
NSE:NIFTY2511618450PE,NIFTY,11,10,2025-01-16 10:00:00,18450.0,NIFTY2511618450PE
NSE:NIFTY2511618500CE,NIFTY,11,10,2025-01-16 10:00:00,18500.0,NIFTY2511618500CE
NSE:NIFTY2511618500PE,NIFTY,11,10,2025-01-16 10:00:00,18500.0,NIFTY2511618500PE
NSE:NIFTY2511618550CE,NIFTY,11,10,2025-01-16 10:00:00,18550.0,NIFTY2511618550CE
NSE:NIFTY2511618550PE,NIFTY,11,10,2025-01-16 10:00:00,18550.0,NIFTY2511618550PE
NSE:NIFTY2511618600CE,NIFTY,11,10,2025-01-16 10:00:00,18600.0,NIFTY2511618600CE
NSE:NIFTY2511618600PE,NIFTY,11,10,2025-01-16 10:00:00,18600.0,NIFTY2511618600PE
NSE:NIFTY2511618650CE,NIFTY,11,10,2025-01-16 10:00:00,18650.0,NIFTY2511618650CE
NSE:NIFTY2511618650PE,NIFTY,11,10,2025-01-16 10:00:00,18650.0,NIFTY2511618650PE
NSE:NIFTY2511619100CE,NIFTY,11,10,2025-01-16 10:00:00,19100.0,NIFTY2511619100CE
NSE:NIFTY2511619100PE,NIFTY,11,10,2025-01-16 10:00:00,19100.0,NIFTY2511619100PE
NSE:NIFTY2511619150CE,NIFTY,11,10,2025-01-16 10:00:00,19150.0,NIFTY2511619150CE
NSE:NIFTY2511619150PE,NIFTY,11,10,2025-01-16 10:00:00,19150.0,NIFTY2511619150PE
NSE:NIFTY2511619200CE,NIFTY,11,10,2025-01-16 10:00:00,19200.0,NIFTY2511619200CE
NSE:NIFTY2511619200PE,NIFTY,11,10,2025-01-16 10:00:00,19200.0,NIFTY2511619200PE
NSE:NIFTY2511619250CE,NIFTY,11,10,2025-01-16 10:00:00,19250.0,NIFTY2511619250CE
NSE:NIFTY2511619250PE,NIFTY,11,10,2025-01-16 10:00:00,19250.0,NIFTY2511619250PE
NSE:NIFTY2511618200CE,NIFTY,11,10,2025-01-16 10:00:00,18200.0,NIFTY2511618200CE
NSE:NIFTY2511618200PE,NIFTY,11,10,2025-01-16 10:00:00,18200.0,NIFTY2511618200PE
NSE:NIFTY2511618250CE,NIFTY,11,10,2025-01-16 10:00:00,18250.0,NIFTY2511618250CE
NSE:NIFTY2511618250PE,NIFTY,11,10,2025-01-16 10:00:00,18250.0,NIFTY2511618250PE
NSE:NIFTY2511618300CE,NIFTY,11,10,2025-01-16 10:00:00,18300.0,NIFTY2511618300CE
NSE:NIFTY2511618300PE,NIFTY,11,10,2025-01-16 10:00:00,18300.0,NIFTY2511618300PE
NSE:NIFTY2511619300CE,NIFTY,11,10,2025-01-16 10:00:00,19300.0,NIFTY2511619300CE
NSE:NIFTY2511619300PE,NIFTY,11,10,2025-01-16 10:00:00,19300.0,NIFTY2511619300PE
NSE:NIFTY2511619350CE,NIFTY,11,10,2025-01-16 10:00:00,19350.0,NIFTY2511619350CE
NSE:NIFTY2511619350PE,NIFTY,11,10,2025-01-16 10:00:00,19350.0,NIFTY2511619350PE
NSE:NIFTY2511619400CE,NIFTY,11,10,2025-01-16 10:00:00,19400.0,NIFTY2511619400CE
NSE:NIFTY2511619400PE,NIFTY,11,10,2025-01-16 10:00:00,19400.0,NIFTY2511619400PE
NSE:NIFTY2511619450CE,NIFTY,11,10,2025-01-16 10:00:00,19450.0,NIFTY2511619450CE
NSE:NIFTY2511619450PE,NIFTY,11,10,2025-01-16 10:00:00,19450.0,NIFTY2511619450PE
NSE:NIFTY2511619500CE,NIFTY,11,10,2025-01-16 10:00:00,19500.0,NIFTY2511619500CE
NSE:NIFTY2511619500PE,NIFTY,11,10,2025-01-16 10:00:00,19500.0,NIFTY2511619500PE
NSE:NIFTY2511619550CE,NIFTY,11,10,2025-01-16 10:00:00,19550.0,NIFTY2511619550CE
NSE:NIFTY2511619550PE,NIFTY,11,10,2025-01-16 10:00:00,19550.0,NIFTY2511619550PE
NSE:NIFTY2511619600CE,NIFTY,11,10,2025-01-16 10:00:00,19600.0,NIFTY2511619600CE
NSE:NIFTY2511619600PE,NIFTY,11,10,2025-01-16 10:00:00,19600.0,NIFTY2511619600PE
